Bevolking," leeftijd, migratieachtergrond, geslacht en regio, 1 januari",,,,,,,
,,Onderwerpen,Totale bevolking,Totale bevolking,Totale bevolking,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond
Totaal,Eemnes,Westerse migratieachtergrond,693,324,369,226,100,126
Totaal,Eemnes,Niet-westerse migratieachtergrond,468,234,234,237,103,134
Totaal,Eemsmond,Totaal,15656,7974,7682,569,278,291
Totaal,Eemsmond,Nederlandse achtergrond,14537,7423,7114, , , 
Totaal,Eemsmond,Westerse migratieachtergrond,642,330,312,285,147,138
Totaal,Eemsmond,Niet-westerse migratieachtergrond,477,221,256,284,131,153
Totaal,Eersel,Totaal,18554,9411,9143,760,359,401
Totaal,Eersel,Nederlandse achtergrond,16949,8622,8327, , , 
Totaal,Eersel,Westerse migratieachtergrond,1116,532,584,435,201,234
Totaal,Eersel,Niet-westerse migratieachtergrond,489,257,232,325,158,167
Totaal,Eijsden-Margraten,Totaal,25297,12594,12703,1270,587,683
Totaal,Eijsden-Margraten,Nederlandse achtergrond,22062,11029,11033, , , 
Totaal,Eijsden-Margraten,Westerse migratieachtergrond,2640,1249,1391,904,399,505
Totaal,Eijsden-Margraten,Niet-westerse migratieachtergrond,595,316,279,366,188,178
Totaal,Eindhoven,Totaal,226868,116307,110561,43824,22598,21226
Totaal,Eindhoven,Nederlandse achtergrond,150890,76970,73920, , , 
Totaal,Eindhoven,Westerse migratieachtergrond,31850,16067,15783,17229,8564,8665
Totaal,Eindhoven,Niet-westerse migratieachtergrond,44128,23270,20858,26595,14034,12561
Totaal,Elburg,Totaal,23026,11468,11558,682,322,360
Totaal,Elburg,Nederlandse achtergrond,21645,10792,10853, , , 
Totaal,Elburg,Westerse migratieachtergrond,804,361,443,336,141,195
Totaal,Elburg,Niet-westerse migratieachtergrond,577,315,262,346,181,165
Totaal,Emmen,Totaal,107490,53461,54029,5923,2732,3191
Totaal,Emmen,Nederlandse achtergrond,94829,47315,47514, , , 
Totaal,Emmen,Westerse migratieachtergrond,7547,3507,4040,2993,1245,1748
Totaal,Emmen,Niet-westerse migratieachtergrond,5114,2639,2475,2930,1487,1443
Totaal,Enkhuizen,Totaal,18479,9294,9185,1495,671,824
Totaal,Enkhuizen,Nederlandse achtergrond,15596,7875,7721, , , 
Totaal,Enkhuizen,Westerse migratieachtergrond,1615,768,847,820,358,462
Totaal,Enkhuizen,Niet-westerse migratieachtergrond,1268,651,617,675,313,362
Totaal,Enschede,Totaal,158140,80488,77652,22790,11264,11526
Totaal,Enschede,Nederlandse achtergrond,112923,57701,55222, , , 
Totaal,Enschede,Westerse migratieachtergrond,19659,9521,10138,8443,3880,4563
Totaal,Enschede,Niet-westerse migratieachtergrond,25558,13266,12292,14347,7384,6963
Totaal,Epe,Totaal,32537,16131,16406,1746,839,907
Totaal,Epe,Nederlandse achtergrond,28758,14261,14497, , , 
Totaal,Epe,Westerse migratieachtergrond,2060,964,1096,800,350,450
Totaal,Epe,Niet-westerse migratieachtergrond,1719,906,813,946,489,457
Totaal,Ermelo,Totaal,26590,13178,13412,1261,623,638
Totaal,Ermelo,Nederlandse achtergrond,23854,11799,12055, , , 
Totaal,Ermelo,Westerse migratieachtergrond,1558,743,815,616,272,344
Totaal,Ermelo,Niet-westerse migratieachtergrond,1178,636,542,645,351,294
Totaal,Etten-Leur,Totaal,43027,21243,21784,3752,1739,2013
Totaal,Etten-Leur,Nederlandse achtergrond,35195,17452,17743, , , 
Totaal,Etten-Leur,Westerse migratieachtergrond,3952,1882,2070,1719,764,955
Totaal,Etten-Leur,Niet-westerse migratieachtergrond,3880,1909,1971,2033,975,1058
Totaal,Ferwerderadiel,Totaal,8735,4473,4262,282,125,157
Totaal,Ferwerderadiel,Nederlandse achtergrond,8162,4185,3977, , , 
Totaal,Ferwerderadiel,Westerse migratieachtergrond,330,161,169,135,56,79
Totaal,Ferwerderadiel,Niet-westerse migratieachtergrond,243,127,116,147,69,78
Totaal,Franekeradeel,Totaal,20215,10167,10048,906,437,469
Totaal,Franekeradeel,Nederlandse achtergrond,18401,9273,9128, , , 
Totaal,Franekeradeel,Westerse migratieachtergrond,1197,581,616,519,247,272
Totaal,Franekeradeel,Niet-westerse migratieachtergrond,617,313,304,387,190,197
Totaal,De Fryske Marren,Totaal,51585,25988,25597,1963,922,1041
Totaal,De Fryske Marren,Nederlandse achtergrond,47583,24054,23529, , , 
Totaal,De Fryske Marren,Westerse migratieachtergrond,2336,1092,1244,894,382,512
Totaal,De Fryske Marren,Niet-westerse migratieachtergrond,1666,842,824,1069,540,529
Totaal,Geertruidenberg,Totaal,21504,10694,10810,931,422,509
Totaal,Geertruidenberg,Nederlandse achtergrond,19457,9709,9748, , , 
Totaal,Geertruidenberg,Westerse migratieachtergrond,1306,631,675,507,228,279
Totaal,Geertruidenberg,Niet-westerse migratieachtergrond,741,354,387,424,194,230
Totaal,Geldermalsen,Totaal,26587,13179,13408,1169,542,627
Totaal,Geldermalsen,Nederlandse achtergrond,24178,12044,12134, , , 
Totaal,Geldermalsen,Westerse migratieachtergrond,1357,630,727,558,259,299
Totaal,Geldermalsen,Niet-westerse migratieachtergrond,1052,505,547,611,283,328
Totaal,Geldrop-Mierlo,Totaal,39078,19368,19710,3011,1409,1602
Totaal,Geldrop-Mierlo,Nederlandse achtergrond,32523,16176,16347, , , 
Totaal,Geldrop-Mierlo,Westerse migratieachtergrond,3576,1668,1908,1389,605,784
Totaal,Geldrop-Mierlo,Niet-westerse migratieachtergrond,2979,1524,1455,1622,804,818
Totaal,Gemert-Bakel,Totaal,30024,15172,14852,1671,823,848
Totaal,Gemert-Bakel,Nederlandse achtergrond,27012,13638,13374, , , 
Totaal,Gemert-Bakel,Westerse migratieachtergrond,2132,1102,1030,1147,584,563
Totaal,Gemert-Bakel,Niet-westerse migratieachtergrond,880,432,448,524,239,285
Totaal,Gennep,Totaal,17129,8746,8383,941,442,499
Totaal,Gennep,Nederlandse achtergrond,14734,7530,7204, , , 
Totaal,Gennep,Westerse migratieachtergrond,1681,857,824,499,226,273
Totaal,Gennep,Niet-westerse migratieachtergrond,714,359,355,442,216,226
Totaal,Giessenlanden,Totaal,14596,7404,7192,453,212,241
Totaal,Giessenlanden,Nederlandse achtergrond,13610,6915,6695, , , 
Totaal,Giessenlanden,Westerse migratieachtergrond,627,297,330,253,101,152
Totaal,Giessenlanden,Niet-westerse migratieachtergrond,359,192,167,200,111,89
Totaal,Gilze en Rijen,Totaal,26220,13132,13088,2085,997,1088
Totaal,Gilze en Rijen,Nederlandse achtergrond,21926,11007,10919, , , 
Totaal,Gilze en Rijen,Westerse migratieachtergrond,2052,991,1061,826,367,459
Totaal,Gilze en Rijen,Niet-westerse migratieachtergrond,2242,1134,1108,1259,630,629
Totaal,Goeree-Overflakkee,Totaal,48653,24042,24611,1370,609,761
Totaal,Goeree-Overflakkee,Nederlandse achtergrond,45773,22680,23093, , , 
Totaal,Goeree-Overflakkee,Westerse migratieachtergrond,1822,844,978,735,297,438
Totaal,Goeree-Overflakkee,Niet-westerse migratieachtergrond,1058,518,540,635,312,323
Totaal,Goes,Totaal,37274,18274,19000,2926,1404,1522
Totaal,Goes,Nederlandse achtergrond,31497,15419,16078, , , 
Totaal,Goes,Westerse migratieachtergrond,3046,1482,1564,1338,632,706
Totaal,Goes,Niet-westerse migratieachtergrond,2731,1373,1358,1588,772,816
Totaal,Goirle,Totaal,23317,11543,11774,1055,465,590
Totaal,Goirle,Nederlandse achtergrond,20730,10328,10402, , , 
Totaal,Goirle,Westerse migratieachtergrond,1556,726,830,464,202,262
Totaal,Goirle,Niet-westerse migratieachtergrond,1031,489,542,591,263,328
Totaal,Gooise Meren,Totaal,56935,27398,29537,4909,2148,2761
Totaal,Gooise Meren,Nederlandse achtergrond,45346,21958,23388, , , 
Totaal,Gooise Meren,Westerse migratieachtergrond,6897,3142,3755,2470,1011,1459
Totaal,Gooise Meren,Niet-westerse migratieachtergrond,4692,2298,2394,2439,1137,1302
Totaal,Gorinchem,Totaal,35755,17647,18108,4428,2177,2251
Totaal,Gorinchem,Nederlandse achtergrond,26668,13060,13608, , , 
Totaal,Gorinchem,Westerse migratieachtergrond,3451,1730,1721,1541,728,813
Totaal,Gorinchem,Niet-westerse migratieachtergrond,5636,2857,2779,2887,1449,1438
Totaal,Gouda,Totaal,71752,35204,36548,8738,4209,4529
Totaal,Gouda,Nederlandse achtergrond,53993,26439,27554, , , 
Totaal,Gouda,Westerse migratieachtergrond,6219,3004,3215,3001,1364,1637
Totaal,Gouda,Niet-westerse migratieachtergrond,11540,5761,5779,5737,2845,2892
Totaal,Grave,Totaal,12370,6321,6049,778,432,346
Totaal,Grave,Nederlandse achtergrond,10748,5447,5301, , , 
Totaal,Grave,Westerse migratieachtergrond,1005,508,497,334,156,178
Totaal,Grave,Niet-westerse migratieachtergrond,617,366,251,444,276,168
Totaal,'s-Gravenhage (gemeente),Totaal,524882,259837,265045,164088,79743,84345
Totaal,'s-Gravenhage (gemeente),Nederlandse achtergrond,248217,122847,125370, , , 
Totaal,'s-Gravenhage (gemeente),Westerse migratieachtergrond,91739,43942,47797,57505,26617,30888
Totaal,'s-Gravenhage (gemeente),Niet-westerse migratieachtergrond,184926,93048,91878,106583,53126,53457
Totaal,Groningen (gemeente),Totaal,202636,101315,101321,28362,14134,14228
Totaal,Groningen (gemeente),Nederlandse achtergrond,154367,76916,77451, , , 
Totaal,Groningen (gemeente),Westerse migratieachtergrond,24320,11759,12561,14002,6421,7581
Totaal,Groningen (gemeente),Niet-westerse migratieachtergrond,23949,12640,11309,14360,7713,6647
Totaal,Grootegast,Totaal,12166,6193,5973,229,111,118
Totaal,Grootegast,Nederlandse achtergrond,11705,5976,5729, , , 
Totaal,Grootegast,Westerse migratieachtergrond,296,136,160,121,57,64
Totaal,Grootegast,Niet-westerse migratieachtergrond,165,81,84,108,54,54
Totaal,Gulpen-Wittem,Totaal,14337,7236,7101,771,355,416
Totaal,Gulpen-Wittem,Nederlandse achtergrond,12381,6323,6058, , , 
Totaal,Gulpen-Wittem,Westerse migratieachtergrond,1661,767,894,563,254,309
Totaal,Gulpen-Wittem,Niet-westerse migratieachtergrond,295,146,149,208,101,107
Totaal,Haaksbergen,Totaal,24272,12186,12086,1134,527,607
Totaal,Haaksbergen,Nederlandse achtergrond,21358,10729,10629, , , 
Totaal,Haaksbergen,Westerse migratieachtergrond,1610,771,839,426,173,253
Totaal,Haaksbergen,Niet-westerse migratieachtergrond,1304,686,618,708,354,354
Totaal,Haaren,Totaal,13912,7095,6817,461,202,259
Totaal,Haaren,Nederlandse achtergrond,12938,6613,6325, , , 
Totaal,Haaren,Westerse migratieachtergrond,664,341,323,262,110,152
Totaal,Haaren,Niet-westerse migratieachtergrond,310,141,169,199,92,107
Totaal,Haarlem,Totaal,159229,78031,81198,22466,10890,11576
Totaal,Haarlem,Nederlandse achtergrond,114457,56032,58425, , , 
Totaal,Haarlem,Westerse migratieachtergrond,20434,9666,10768,9655,4436,5219
Totaal,Haarlem,Niet-westerse migratieachtergrond,24338,12333,12005,12811,6454,6357
Totaal,Haarlemmerliede en Spaarnwoude,Totaal,5665,2816,2849,395,177,218
Totaal,Haarlemmerliede en Spaarnwoude,Nederlandse achtergrond,4822,2416,2406, , , 
Totaal,Haarlemmerliede en Spaarnwoude,Westerse migratieachtergrond,477,225,252,204,91,113
Totaal,Haarlemmerliede en Spaarnwoude,Niet-westerse migratieachtergrond,366,175,191,191,86,105
Totaal,Haarlemmermeer,Totaal,146003,72638,73365,18505,8597,9908
Totaal,Haarlemmermeer,Nederlandse achtergrond,108548,54445,54103, , , 
Totaal,Haarlemmermeer,Westerse migratieachtergrond,16214,7771,8443,7538,3394,4144
Totaal,Haarlemmermeer,Niet-westerse migratieachtergrond,21241,10422,10819,10967,5203,5764
Totaal,Halderberge,Totaal,29579,14687,14892,2227,1024,1203
Totaal,Halderberge,Nederlandse achtergrond,25259,12542,12717, , , 
Totaal,Halderberge,Westerse migratieachtergrond,2089,1026,1063,1030,455,575
Totaal,Halderberge,Niet-westerse migratieachtergrond,2231,1119,1112,1197,569,628
Totaal,Hardenberg,Totaal,60211,30458,29753,1699,793,906
Totaal,Hardenberg,Nederlandse achtergrond,56393,28583,27810, , , 
Totaal,Hardenberg,Westerse migratieachtergrond,2251,1058,1193,656,248,408
Totaal,Hardenberg,Niet-westerse migratieachtergrond,1567,817,750,1043,545,498
Totaal,Harderwijk,Totaal,46352,22913,23439,3899,1921,1978
Totaal,Harderwijk,Nederlandse achtergrond,38104,18752,19352, , , 
Totaal,Harderwijk,Westerse migratieachtergrond,3061,1514,1547,1208,550,658
Totaal,Harderwijk,Niet-westerse migratieachtergrond,5187,2647,2540,2691,1371,1320
Totaal,Hardinxveld-Giessendam,Totaal,17872,8945,8927,596,300,296
Totaal,Hardinxveld-Giessendam,Nederlandse achtergrond,16711,8340,8371, , , 
Totaal,Hardinxveld-Giessendam,Westerse migratieachtergrond,596,309,287,262,128,134
Totaal,Hardinxveld-Giessendam,Niet-westerse migratieachtergrond,565,296,269,334,172,162
Totaal,Haren,Totaal,19570,9329,10241,1241,579,662
Totaal,Haren,Nederlandse achtergrond,17049,8118,8931, , , 
Totaal,Haren,Westerse migratieachtergrond,1543,708,835,618,251,367
Totaal,Haren,Niet-westerse migratieachtergrond,978,503,475,623,328,295
Totaal,Harlingen,Totaal,15860,7993,7867,872,401,471
Totaal,Harlingen,Nederlandse achtergrond,13963,7056,6907, , , 
Totaal,Harlingen,Westerse migratieachtergrond,1216,603,613,471,208,263
Totaal,Harlingen,Niet-westerse migratieachtergrond,681,334,347,401,193,208
Totaal,Hattem,Totaal,12040,5931,6109,389,176,213
Totaal,Hattem,Nederlandse achtergrond,11126,5497,5629, , , 
Totaal,Hattem,Westerse migratieachtergrond,540,250,290,172,67,105
Totaal,Hattem,Niet-westerse migratieachtergrond,374,184,190,217,109,108
Totaal,Heemskerk,Totaal,39171,19201,19970,3769,1705,2064
Totaal,Heemskerk,Nederlandse achtergrond,31557,15575,15982, , , 
Totaal,Heemskerk,Westerse migratieachtergrond,3610,1697,1913,1514,678,836
Totaal,Heemskerk,Niet-westerse migratieachtergrond,4004,1929,2075,2255,1027,1228
Totaal,Heemstede,Totaal,26936,12661,14275,2137,886,1251
Totaal,Heemstede,Nederlandse achtergrond,21871,10346,11525, , , 
Totaal,Heemstede,Westerse migratieachtergrond,3402,1522,1880,1231,475,756
Totaal,Heemstede,Niet-westerse migratieachtergrond,1663,793,870,906,411,495
Totaal,Heerde,Totaal,18561,9146,9415,491,225,266
Totaal,Heerde,Nederlandse achtergrond,17478,8623,8855, , , 
Totaal,Heerde,Westerse migratieachtergrond,598,293,305,205,95,110
Totaal,Heerde,Niet-westerse migratieachtergrond,485,230,255,286,130,156
Totaal,Heerenveen,Totaal,50203,24897,25306,2783,1357,1426
Totaal,Heerenveen,Nederlandse achtergrond,44490,22026,22464, , , 
Totaal,Heerenveen,Westerse migratieachtergrond,2762,1344,1418,1103,506,597
Totaal,Heerenveen,Niet-westerse migratieachtergrond,2951,1527,1424,1680,851,829
Totaal,Heerhugowaard,Totaal,54950,27719,27231,5316,2640,2676
Totaal,Heerhugowaard,Nederlandse achtergrond,43690,22071,21619, , , 
Totaal,Heerhugowaard,Westerse migratieachtergrond,4794,2357,2437,1976,927,1049
Totaal,Heerhugowaard,Niet-westerse migratieachtergrond,6466,3291,3175,3340,1713,1627
Totaal,Heerlen,Totaal,87189,43290,43899,10411,5229,5182
Totaal,Heerlen,Nederlandse achtergrond,62672,31049,31623, , , 
Totaal,Heerlen,Westerse migratieachtergrond,16287,7798,8489,5544,2533,3011
Totaal,Heerlen,Niet-westerse migratieachtergrond,8230,4443,3787,4867,2696,2171
Totaal,Heeze-Leende,Totaal,15714,7974,7740,693,328,365
Totaal,Heeze-Leende,Nederlandse achtergrond,14169,7207,6962, , , 
Totaal,Heeze-Leende,Westerse migratieachtergrond,1126,566,560,445,212,233
Totaal,Heeze-Leende,Niet-westerse migratieachtergrond,419,201,218,248,116,132
Totaal,Heiloo,Totaal,22857,11309,11548,1212,590,622
Totaal,Heiloo,Nederlandse achtergrond,20042,9857,10185, , , 
Totaal,Heiloo,Westerse migratieachtergrond,1791,884,907,629,263,366
Totaal,Heiloo,Niet-westerse migratieachtergrond,1024,568,456,583,327,256
Totaal,Den Helder,Totaal,56020,27750,28270,5164,2482,2682
Totaal,Den Helder,Nederlandse achtergrond,45092,22278,22814, , , 
Totaal,Den Helder,Westerse migratieachtergrond,5434,2605,2829,1964,843,1121
Totaal,Den Helder,Niet-westerse migratieachtergrond,5494,2867,2627,3200,1639,1561
Totaal,Hellendoorn,Totaal,35772,17892,17880,1027,472,555
Totaal,Hellendoorn,Nederlandse achtergrond,33400,16742,16658, , , 
Totaal,Hellendoorn,Westerse migratieachtergrond,1455,698,757,450,190,260
Totaal,Hellendoorn,Niet-westerse migratieachtergrond,917,452,465,577,282,295
Totaal,Hellevoetsluis,Totaal,38722,19161,19561,3270,1484,1786
Totaal,Hellevoetsluis,Nederlandse achtergrond,31738,15789,15949, , , 
Totaal,Hellevoetsluis,Westerse migratieachtergrond,3554,1675,1879,1418,606,812
Totaal,Hellevoetsluis,Niet-westerse migratieachtergrond,3430,1697,1733,1852,878,974
Totaal,Helmond,Totaal,90602,45636,44966,11803,5700,6103
Totaal,Helmond,Nederlandse achtergrond,67554,34102,33452, , , 
Totaal,Helmond,Westerse migratieachtergrond,11653,5696,5957,5981,2786,3195
Totaal,Helmond,Niet-westerse migratieachtergrond,11395,5838,5557,5822,2914,2908
Totaal,Hendrik-Ido-Ambacht,Totaal,29731,14649,15082,1717,754,963
Totaal,Hendrik-Ido-Ambacht,Nederlandse achtergrond,25652,12678,12974, , , 
Totaal,Hendrik-Ido-Ambacht,Westerse migratieachtergrond,1861,892,969,593,226,367
Totaal,Hendrik-Ido-Ambacht,Niet-westerse migratieachtergrond,2218,1079,1139,1124,528,596
Totaal,Hengelo (O.),Totaal,80802,40475,40327,8406,4046,4360
Totaal,Hengelo (O.),Nederlandse achtergrond,62697,31394,31303, , , 
Totaal,Hengelo (O.),Westerse migratieachtergrond,7782,3736,4046,2816,1207,1609
Totaal,Hengelo (O.),Niet-westerse migratieachtergrond,10323,5345,4978,5590,2839,2751
Totaal,'s-Hertogenbosch,Totaal,152411,75276,77135,14494,6985,7509
Totaal,'s-Hertogenbosch,Nederlandse achtergrond,122080,60297,61783, , , 
Totaal,'s-Hertogenbosch,Westerse migratieachtergrond,13417,6398,7019,5529,2502,3027
Totaal,'s-Hertogenbosch,Niet-westerse migratieachtergrond,16914,8581,8333,8965,4483,4482
Totaal,Heumen,Totaal,16475,8159,8316,920,431,489
Totaal,Heumen,Nederlandse achtergrond,14280,7091,7189, , , 
Totaal,Heumen,Westerse migratieachtergrond,1503,706,797,514,211,303
Totaal,Heumen,Niet-westerse migratieachtergrond,692,362,330,406,220,186
Totaal,Heusden,Totaal,43516,21800,21716,2902,1378,1524
Totaal,Heusden,Nederlandse achtergrond,37763,19009,18754, , , 
Totaal,Heusden,Westerse migratieachtergrond,3061,1429,1632,1453,662,791
Totaal,Heusden,Niet-westerse migratieachtergrond,2692,1362,1330,1449,716,733
Totaal,Hillegom,Totaal,21316,10545,10771,1911,861,1050
Totaal,Hillegom,Nederlandse achtergrond,17686,8846,8840, , , 
Totaal,Hillegom,Westerse migratieachtergrond,2308,1076,1232,1191,546,645
Totaal,Hillegom,Niet-westerse migratieachtergrond,1322,623,699,720,315,405
Totaal,Hilvarenbeek,Totaal,15283,7701,7582,513,225,288
Totaal,Hilvarenbeek,Nederlandse achtergrond,14127,7141,6986, , , 
Totaal,Hilvarenbeek,Westerse migratieachtergrond,820,412,408,296,134,162
Totaal,Hilvarenbeek,Niet-westerse migratieachtergrond,336,148,188,217,91,126
Totaal,Hilversum,Totaal,88888,43611,45277,12354,5950,6404
Totaal,Hilversum,Nederlandse achtergrond,65478,32130,33348, , , 
Totaal,Hilversum,Westerse migratieachtergrond,11677,5551,6126,5824,2726,3098
Totaal,Hilversum,Niet-westerse migratieachtergrond,11733,5930,5803,6530,3224,3306
Totaal,Hof van Twente,Totaal,35011,17406,17605,1435,671,764
Totaal,Hof van Twente,Nederlandse achtergrond,31925,15940,15985, , , 
Totaal,Hof van Twente,Westerse migratieachtergrond,1947,904,1043,725,334,391
Totaal,Hof van Twente,Niet-westerse migratieachtergrond,1139,562,577,710,337,373
Totaal,Hollands Kroon,Totaal,47600,24097,23503,2380,1106,1274
Totaal,Hollands Kroon,Nederlandse achtergrond,43000,21906,21094, , , 
Totaal,Hollands Kroon,Westerse migratieachtergrond,3196,1531,1665,1541,691,850
Totaal,Hollands Kroon,Niet-westerse migratieachtergrond,1404,660,744,839,415,424
Totaal,Hoogeveen,Totaal,55311,27587,27724,2951,1540,1411
Totaal,Hoogeveen,Nederlandse achtergrond,49589,24621,24968, , , 
Totaal,Hoogeveen,Westerse migratieachtergrond,3062,1472,1590,1210,527,683
Totaal,Hoogeveen,Niet-westerse migratieachtergrond,2660,1494,1166,1741,1013,728
Totaal,Hoogezand-Sappemeer,Totaal,34232,16906,17326,3288,1590,1698
Totaal,Hoogezand-Sappemeer,Nederlandse achtergrond,27637,13628,14009, , , 
Totaal,Hoogezand-Sappemeer,Westerse migratieachtergrond,2525,1194,1331,1115,496,619
Totaal,Hoogezand-Sappemeer,Niet-westerse migratieachtergrond,4070,2084,1986,2173,1094,1079
Totaal,Hoorn,Totaal,72493,35734,36759,8344,3969,4375
Totaal,Hoorn,Nederlandse achtergrond,55886,27517,28369, , , 
Totaal,Hoorn,Westerse migratieachtergrond,6424,3071,3353,2939,1315,1624
Totaal,Hoorn,Niet-westerse migratieachtergrond,10183,5146,5037,5405,2654,2751
Totaal,Horst aan de Maas,Totaal,42139,21210,20929,2670,1161,1509
Totaal,Horst aan de Maas,Nederlandse achtergrond,37529,19060,18469, , , 
Totaal,Horst aan de Maas,Westerse migratieachtergrond,3488,1579,1909,1929,801,1128
Totaal,Horst aan de Maas,Niet-westerse migratieachtergrond,1122,571,551,741,360,381
Totaal,Houten,Totaal,49300,24338,24962,2999,1347,1652
